
Best fit: 0	Avg fit: 0
Best fit: 0,6	Avg fit: 0,036
Best fit: 0,6	Avg fit: 0,072
Best fit: 0,6	Avg fit: 0,136
Best fit: 0,6	Avg fit: 0,168
Best fit: 21,6	Avg fit: 2,892
Best fit: 100	Avg fit: 6,244
Best fit: 0,8	Avg fit: 0,76
Best fit: 6,4	Avg fit: 1,016
Best fit: 100	Avg fit: 5,012
Best fit: 80,4	Avg fit: 8,944
Best fit: 75,6	Avg fit: 15,94
Best fit: 100	Avg fit: 21,324
Best fit: 148	Avg fit: 23,228
Best fit: 148	Avg fit: 23,756
Best fit: 148	Avg fit: 25,972
Best fit: 181,8	Avg fit: 26,848
Best fit: 312,6	Avg fit: 34,348
Best fit: 100	Avg fit: 16.188
Best fit: 211.2	Avg fit: 29.552
Best fit: 278.8	Avg fit: 40.292
Best fit: 274.4	Avg fit: 34.024
Best fit: 745.8	Avg fit: 63.216
Best fit: 800	Avg fit: 69.1600000000001
Best fit: 1757.6	Avg fit: 128.428
Best fit: 1757.6	Avg fit: 270.948
Best fit: 1757.6	Avg fit: 278.972
Best fit: 1757.6	Avg fit: 307.616
Best fit: 1757.6	Avg fit: 317.612
Best fit: 1757.6	Avg fit: 349.936
Best fit: 1757.6	Avg fit: 351.508
Best fit: 1757.6	Avg fit: 413.6
Best fit: 1757.6	Avg fit: 429.116
Best fit: 1757.6	Avg fit: 385.684
Best fit: 1757.6	Avg fit: 456.732
Best fit: 1757.6	Avg fit: 414.368
Best fit: 1757.6	Avg fit: 413.692
Best fit: 1757.6	Avg fit: 404.524
Best fit: 1993.2	Avg fit: 513.3
Best fit: 1757.6	Avg fit: 420.56
Best fit: 3704.4	Avg fit: 500.62
Best fit: 4012	Avg fit: 510.84
Best fit: 4093.6	Avg fit: 656.892
Best fit: 4401.2	Avg fit: 855.176
Best fit: 4401.2	Avg fit: 782.828
Best fit: 4401.2	Avg fit: 838.488000000001
Best fit: 5487.2	Avg fit: 1149.628
Best fit: 5487.2	Avg fit: 1054.96
Best fit: 5487.2	Avg fit: 1073.928
Best fit: 4790.4	Avg fit: 1017.628
Best fit: 4790.4	Avg fit: 1087.992
Best fit: 4401.2	Avg fit: 821.356000000001
Best fit: 4790.4	Avg fit: 1012.676
Best fit: 4790.4	Avg fit: 979.100000000001
Best fit: 4790.4	Avg fit: 1091.812
Best fit: 4790.4	Avg fit: 1005.696
Best fit: 4790.4	Avg fit: 1042.792
Best fit: 5487.2	Avg fit: 978.104000000001
Best fit: 4790.4	Avg fit: 1074.292
Best fit: 4790.4	Avg fit: 1130.088
Best fit: 5098	Avg fit: 903.736000000002
Best fit: 4401.2	Avg fit: 1095.752
Best fit: 4838.4	Avg fit: 933.476000000001
Best fit: 5239.4	Avg fit: 916.192000000001
Best fit: 5619.2	Avg fit: 1028.584
Best fit: 5619.2	Avg fit: 1104.704
Best fit: 5239.4	Avg fit: 1092.784
Best fit: 6400	Avg fit: 1009.104
Best fit: 5619.2	Avg fit: 1102.648
Best fit: 6400	Avg fit: 1096.404
Best fit: 5782.6	Avg fit: 1171.404
Best fit: 6400	Avg fit: 1427.896
Best fit: 5871.4	Avg fit: 1151.348
Best fit: 5782.6	Avg fit: 1438.532
Best fit: 6400	Avg fit: 1195.64
Best fit: 5619.2	Avg fit: 1294.504
Best fit: 6400	Avg fit: 1170.008
Best fit: 6400	Avg fit: 1499.264
Best fit: 6400	Avg fit: 1313.312
Best fit: 5966.4	Avg fit: 1348.08
Best fit: 5966.4	Avg fit: 1226.54
Best fit: 6400	Avg fit: 1327.532
Best fit: 6171.8	Avg fit: 1547.996
Best fit: 5966.4	Avg fit: 1440.016
Best fit: 6400	Avg fit: 1294.132
Best fit: 6400	Avg fit: 1402.964
Best fit: 6171.8	Avg fit: 1296.52
Best fit: 6171.8	Avg fit: 1540.08
Best fit: 6400	Avg fit: 1659.14
Best fit: 6400	Avg fit: 1616.36
Best fit: 6171.8	Avg fit: 1788.92
Best fit: 6400	Avg fit: 1777.304
Best fit: 6400	Avg fit: 1576.452
Best fit: 6400	Avg fit: 1431.864
Best fit: 6400	Avg fit: 1572.936
Best fit: 6400	Avg fit: 1430.612
Best fit: 6400	Avg fit: 1602.92
Best fit: 5943.6	Avg fit: 1399.004
Best fit: 6171.8	Avg fit: 1425.056
Best fit: 6171.8	Avg fit: 1536.032
Best fit: 6400	Avg fit: 1821.152
Best fit: 6400	Avg fit: 1601.792
Best fit: 6400	Avg fit: 1645.224
Best fit: 5966.4	Avg fit: 1580.58
Best fit: 6400	Avg fit: 1422.976
Best fit: 6400	Avg fit: 1751.356
Best fit: 6400	Avg fit: 1625.996
Best fit: 6400	Avg fit: 1528.012
Best fit: 6400	Avg fit: 1603.228
